"Control Number","Item Number","Block Number","Block Time","Item Name",Value,Description,Donor
U126,214,27,23:20:00,"Yoga Sessions",120.00,"10 yoga sessions in a small group setting or 2 one on one yoga sessions with Anita Thachuk. Anita is a distinguished yoga adept who has been a leading yoga trainer for over ten years from her comfortable neighbourhood studio setting in Scarborough Village. Whether novice or experienced yoga fan, you will be taken through yoga poses at the pace best suited to your capabilities. Anita is always available for consultation in advance of classes and will guide you through all the appropriate steps before starting your personal program. Classes are now booking into early 2012 so prepare to get fit for next spring by joining Anita at Satya Yoga today. ","Satya Yoga Studio"
S088,215,27,23:20:00,"Toronto Star 3-month subscription",100.00,"This letter will enable the holder to have a seven-day delivery subscription of The Toronto Star for three months. The subscription can only be fulfilled in a delivery serviceable area. If you already receive home delivery of the Toronto Star, not to worry, the consumer marketing department will make any necessary adjustments.","Toronto Star"
S121,217,28,23:30:00,"Lowepro camera/laptop backpack",50.00,"The CompuDay Photo 250 holds your laptop. And your camera. Plus it carries life' essentials -- like a cell phone, MP3 player, portable hard drive and other handy items. The CompuDay  Photo 250 backpack helps keep you connected.","Henry's Photo"
S173,218,28,23:30:00,"Hot Chocolate Drinkmaker",60.00,"Cadbury is the maker of this Hot Chocolate drinkmaker. You do not need to be an expert to create fantastic drinks that will amaze everyone. Melt your favourite Cadbury milk or dark chocolate in the heated milk, blend in a favourite flavouring.  It fills up to eight cups or four mugs. Recipe booklet included. Has off and on switch.","Fred Pierce"
X088,219,28,23:30:00,"PADERNO Programmable 12cup Coffee Maker",50.00,"This unit with GLASS CARAFE and removable filter.  Features include auto-pause and serve, and anti-drip, atomatic shut off, digital timer display, 24 hour programmable timer. and Cord Storage.","Sherwood TV Sales & Services "
Y037,220,28,23:30:00,"Dry Cleaning Certificate",50.00,"Conveniently Located by Airport Hotels at 235 Dixon Rd, Westown Custom Cleaners offers quality service in just ONE Hour. ","Westown Custom Cleaners"
W071,221,28,23:30:00,"Petro Can Gift Card",50.00,"Coruzzi's Auto Centre located at 1772 Jane Street donates - a $50 Gift Card Good for Gas / Service / or Motoring Products at 1500 Participating Petro Can Locations Throughout Canada. Courtesy of Coruzzi's Petro Can Station on Jane Street","Coruzzi's Auto Centre"
Y020,222,28,23:30:00,"Gentleman Hair Gift Certificate",25.00,"This Gift Certificate entitles Gentleman to receive a Cut, Wash, Style at Cosimo's Hair  Salon on Dundas Street West which is 2 blocks west of Keele.","Cosimo's Hair Styling"
W151,225,29,23:40:00,"Travel Hair Dryer & Facial Gift Card",80.00,"INVU Inc. donates - a Beauty Care Package - Consists of an Avanti Folding Travel Hair Dryer - With 2 Speed Heat Control and Powerful Airflow - and - a Gift Certificate from the Elmhurst Salon & Barber Shop at 2428 Islington Ave. for a Ladies Facial Treatment - Be Even More Glamorous for the Holiday Season.","INVU Inc."
S218,226,29,23:40:00,"Sheaffer Pen and Pencil Set",65.00,"Excellent quality pen and pencil set from Sheaffer.  A great gift for the business person or professional.  Makes a great stocking stuffer.  Donated by our friends at Bic.","Bill Boyd"
S179,227,29,23:40:00,"Chocolate Fondue Set & 4 Individual Pots",60.00,"Cadbury has made this ceramic chocolate fondue set which has two serving dishes, 4 stainless steel fondue forks and a tea light. Plus we have four personal melting pots as well. Each has a different design on it. Put your favorite dipping items in and around the semi circle serving dishes and enjoy.","Fred Pierce"
S065,228,29,23:40:00,"Men's Winter Jacket",90.00,"This men's winter jacket is made by Smartech Outerboundary collection designed to protect like armour against the elements. Full zip jacket with storm flap features, articulated elbows and drop tail back. Zippered sleeve and front side pockets, plus additional interior pocket. Adjustable cuffs with draw cord and toggle at hem and back collar.  Size is large.   ","Shirley Samis"
S116,229,29,23:40:00,"$50 gift certificate",50.00,"This $50 gift certificate for Dancap Productions is valid for ticket and Prixe Fixe dinner purchase. Gift certificates do not expire. The certificate may be redeemed over the phone only at 416-644-3665/1-866-950-7496.Your chance to see shows like; Shrek, West Side Story, and the Tony Award winning musical In the Heights and many more.","Dancap Productions"
S124,230,29,23:40:00,"$100 Esso Gas Card",100.00,"This is a gift card that can be used at any Esso Gas Station.",Esso
S076,231,29,23:40:00,"Two Certificates for Canyon Creek",100.00,"These two certificates are for a great lunch or dinner with friends at the Canyon Creek Chophouse located in Scarborough near McCowan Rd.  Lovelyrestaurant to treat and enjoy your company, with great food.","Canyon Creek"
W029,233,30,23:50:00,"Cookbook & 3 Children's Books",82.00,"The Book Mark located at 2964 Bloor St. West donates - "" Betty Crockers New Edition Cookbook "" and 3 Chidrens books - titles are "" A World That Loved Books "" / "" Cambra and Henry "" and "" Emily's House "" -  Mother will enjoy Betty Crockers Cookbook and the children will be delighted with the 3 Illustrated Chidrens stories.","The Book Mark"
S017,234,30,23:50:00,"Four cup Coffee Maker",50.00,"Great four cup coffee maker. It has auto-pause drip stop which allows you to remove carafe before brewing cycle is completed., one hour automatic shut off, with a lighted on and off switch. one year limited warranty and a removable washable filter basket. Easy to use and great for your kitchen or a gift.","Dickson Home Hardware"
U061,235,30,23:50:00,"Dinner for Two",50.00,"Black Forest Steak house and Tavern.  ""We Serve only Red Brand Beef"".  Started in 1970, family George and Peter Brothers provides variety of entrees, enjoy our return customers and provide place to celebrate special occasions.","Black Forest Steak House"
W136,236,30,23:50:00,"Lube - Oil - Filter - Tire Balance Services",80.00,"Active Green & Ross Tire and Automotive Centre donates an $80 Gift Certificate for Lube / Oil / Filter / 4 Wheel Balance and Tire Rotation with 30 Point Courtesy Inspection Service - Valid at Any Green & Ross Tire and Automotive Centre Location","Active Green & Ross "
S106,237,30,23:50:00,"Massage Therapy Gift Certificate",40.00,"Relax with a Thirty minute session with a Registered Massage Therapist or a Sports Injury Therapist at Veritas Rehabilitation Services. Located at 1940 Ellesmere Ave. Good for bady and soul","Veritas Rehabilitation Services"
W145,238,30,23:50:00,"Ladies Hosiery Gift Basket",200.00,"Phantom Industries located at 207 Weston Road donates - a $200 Gift Basket Filled with "" Silks "" Ladies Hosiery Items - Includeing Control Top Panty Hose Sizes A,B,C,D - Black and Grey Control Top Tights Sizes A,B,C - all Hosiery Items can be Exchanged for Different Sizes at the Phantom Store in the Bathurst/Lawrence Plaza - all Courtesy of Phantom Industries.","Phantom Industries"
S185,239,30,23:50:00,"Chocolate Fountain",80.00,"Cadbury has made this chocolate fountain which is easy to use for a fabulous dessert whenever you want. Has an off , heat and heat flow switch to use. Then  watch the delicious chocolate drip down the fountain so you can dip the fruit or marshmallows in it.","Fred Pierce"
S213,241,31,10:00:00,"6 Bottles of  Wine with Rack",120.00,"Produced in his cellars by the MPP for Beaches-East York, Michael Prue uses the label name ""Vin Du Depute"".  This years' selections are; a Chocolate Port, an Icewine, an Old Wine Zinfandel, a Duoro Tinto, a Pinot Grigio, and finally a sparkling wine called Mille Etoile.  Each label is signed by the winemaker.  A storage rack is included.","Michael Prue  MPP"
U053,242,31,10:00:00,"Cuisinart Coffee Grinder",50.00,"Easy and convenient to use.  Cuisinart Coffee and Hard Spice Grinder.  Ultimate convenience with one touch control.","Deborah   Cloakey"
S036,243,31,10:00:00,"Nike small departure Duffle bag",90.00,"Nike durable triple-weave poly departure duffle bag has multiple accessory pockets one large and one small , as well has a pocket at each end of the bag.Inside has net pocket as well as a zippered bag to hold your shoes, or cosmetics. Great heavy duty handles and shoulder strap ","TD Waterhouse"
Y019,244,31,10:00:00,"Framing Certificate ",35.00,"Valid until January 15th 2012 towards a purchase, framing, or lamination. The Elertric Gallery is located at 2323 Bloor Street West.","The Electric Gallery"
T015,245,31,10:00:00,"Fashion Accessory Package",60.00,"West Park Healthcare Centre Foundation donates an upscale fashion accessory package which includes a beautiful black and silver Shawl, an elegant dressy bracelet, and sleek silver clutch.","West Park Healthcare Foundation"
U093,246,31,10:00:00,"Oil Change Service",40.00,"Oil Change Service for your car.  41 Years of service at this location.  We service all makes of vehicles","Silver Mile Service Centre"
S216,247,31,10:00:00,"Sheaffer Pen",50.00,"Excellent quality pen from Sheaffer.  A great gift for the business person or professional.  Makes a great stocking stuffer.  Donated by our friends at Bic.","Bill Boyd"
W027,248,31,10:00:00,"8 DVD Movies",90.00,"Rogers Video Stores at 3015 Bloor St. West and 1530 Albion Road combine to donate - 8 DVD Video Movies - titles are "" Mr. Nobody "" / "" Get low "" / "" The Beaver "" / "" Paperman "" and "" Morning Glory "" / "" Unknown "" / "" Red "" and "" Eat Pray love "".   Great holiday entertainment for the family during the Xmas season ","Rogers Video Store"
S132,249,32,10:10:00,"4 Pc. Barbecue Set",65.00,"Magnum has designed this four piece barbecue set for you to spend time havingfun barbecuing for the family. It has rosewood handles, Large tongs, spatula, fork and a very sharp knife.  All you need to serve your family a great dinner.","Al Schaafsma"
X113,250,32,10:10:00,"Permanent for a Man or Woman",80.00,"The ""Modern hair Place"" is a friendly, unisex hair salon and has been on the ""Cutting Edge"" of hair design for over 25 years.Book your appointment at 416-493-7441.  This certificate is valid Monday to Thursday only, and not valid on Fridays, Saturdays, Christmas week and Holidays.","Modern Hair Place"
W153,251,32,10:10:00,"Five Books For Family Fun",70.00,"Squibbs Stationers located at 1974 Weston Road donates - Five Books For Family Fun - Titles are ""The Boys Book of Greatness"" / ""Things To Do With Dad"" / ""The Girls Book of Excellence"" / ""Things To Do With Mom"" / ""The Family Book of Amazing Things To Do Together "". This Assortment of Books is Guaranteed to Create Fun and Good Times With Your Family Members.","Squibbs Stationers"
X080,252,32,10:10:00,"PIXAR CARS2 ACCOUSTIC GUITAR IN RED",50.00,"Notes to Level 3, Developing young performers motor gross skills, social learning, fine motor skills, reinforce language skills & cognitive skills""Your kids would love this GUITAR""","Sherwood TV Sales & Services "
X117,253,32,10:10:00,"Comic Books of Your Choice",50.00,"Select from a great supply of both current and back issues of comic books or books. You can spread your purchase out over several visits.  Take advantage of our ""Pull & Hold"" service and never miss an issue of your favourite comic book series.  ","The Paperback Exchange"
U082,254,32,10:10:00,"The Beaches ",50.00,"Framed Print with various locations in ""The Beaches"" in Toronto's East End.  Watercolors by G. Ransom and Graphic design by Linda Potts","Gibson & Associates"
S246,255,32,10:10:00,"Three Young Children's Outfits",70.00,"B & B Children's clothing store in Eglinton Square has donated three outfits. We have a 9 month old Tuxedo outfit in black, a baby boy's christening outfit in white and a pink fancy dress for a young girl in size small.Three nice outfits for the children","B & B Children's Clothing "
S176,257,33,10:20:00,"BBQ thermometer, grill and utensils",60.00,"This combo includes a Folly Mountain smokin griller which is great for sausages, hotdogs, peppers and wings, as well a carrying kit of four utensils for the BBQ in stainless steel with black handles. Last but not least a remote cooking thermometer which checks meat 100 feet away and beeps and flashes when meat is done. included 4 aaa batteries.  Cook from your chair.","Fred Pierce"
S198,258,33,10:20:00,"Table Clock",65.00,"Truly Engravables has donated this skeleton table clock to our auction.It would look elegant on any end table,mantle or buffet. It has a shiny wood like finish with padded bottom. Inside the glass is a suspended clock with all the works showing as it ticks. Numbers are Roman numerals and hands are black.  ","Truly Engravables"
U037,259,33,10:20:00,"Shaftesbury Crystal",80.00,"Beautiful made in Poland Crystal.  Distributed through Royal Doulton.  Set included a 5"" bowl and 4"" daffodil vase.  Must be seen to be appreciated.","Deborah   Cloakey"
U056,260,33,10:20:00,Bunnykins,50.00,"Royal Doulton figurine -  Bunnykins - ""Heading for a Try"".","Deborah   Cloakey"
S082,261,33,10:20:00,"Hair wash, cut & style",60.00,"Mary Price of Stylistics will offer a wash, cut and style. This offer expires Nov. 1, 2012. This well-established hair salon is just north of the Danforth across the street from the Chester subway station.  ",Stylistics
W155,262,33,10:20:00,"1 Hour Massage Therapy",100.00,"The Grice Chiropractic Centre in Weston has donated a One Hour Massage Therapy Session. This certificate expires in April 2012.","Grice Chiropractic Centre"
W132,263,33,10:20:00,"1 Year C A A Membership ",86.00,"C A A South Central Office donates - a One Year Membership Package - Which Includes Emergency Road Assistance - C A A Club Travel Agency Services - Road Maps - and Many Other Benefits - all Courtesy of C A A South Central Office.","CAA South Central Ontario"
S203,265,34,10:30:00,"Spectacular Necklace & Earrings Set",50.00,"Bling, bling, and more bling! The pink and purple tones of this necklace and earrings set will transition beautifully from day to evening, in any occassion! Looking for a splash of colour for that little black dress? These are the pieces for you!","A Friend of Providence Healthcar "
U084,266,34,10:30:00,"Cat Lover Bundle",60.00,"""Muddy Paws in the Guild:  Cat Lovers Delight bundle - includes cat bed, scratcher and swatter toy for your cat as well as stuffed cat for your child.""","Muddy Paws in the Guild"
S029,267,34,10:30:00,"framed Small Picture",50.00,"Picture is called Repertoire by H. Downing Hunter. Shows small child sitting at the grand piano with a woman standing looking out the window in the living room.It has been water colored in soft pale shades.  Wooden frame. Would look good in hall or any room of the home.","Al Schaafsma"
X083,268,34,10:30:00,"BERNARDIN Home Canning Starter Kit",50.00,"All the tools you need to start Canning in one Kit.  Includes Canning Rack, Bubble Remover and head spice guage, jar funnel, magnetic lid lifter, original pectin, 4 236 ML jars, Also get seasonal recipes and home canning HOW TO'S DVD","Sherwood TV Sales & Services "
W046,269,34,10:30:00,"REIKI Therapy Treatment",80.00,"The Healing Space located at 762 Queen St. West donates - an $ 80 Gift Certificate for One Hour REIKI Therapy Treatment - Enjoy better health and well being with Therapy - courtesy of The Healing Space","The Healing Space"
U112,270,34,10:30:00,"Seasonal Tune Up",65.00,"Seasonal Tune Up for your car which will include an oil change, tire rotation and a complete inspection of the car.","CAA Car Care Services"
X003,271,34,10:30:00,"Gift Certificate ",100.00,"This is a President's Choice gift certificate that can be redeemed for up to $100 value of anything in the No Frills and Loblaw family of PC stores.","Michael's No Frills"
X064,272,34,10:30:00,"3 Lessons with Teacher of your choice (1/2 hour each)",110.00,"Julian Fisher, Principal, Violin and Viola teacher will arrange three half hour lessons with the teacher of your choice (piano or string instrument).  The Toronto School for Strings is located near Yonge and Bloor; studio entrance is at 711 Church St. at Park Road","Toronto School for Strings"
S099,273,35,10:40:00,"Pamper Package",100.00,"Coconut gift set from the Body Shop - body scrub, body butter, soap, shower cream and scrubber.Tea Master brewing system from Teaopia, with Dragonheart White Tea.A luxurious gift that's sure to please!","James W. Leech"
S110,274,35,10:40:00,"Jack Astor's & Four Movie Passes",90.00,"Jack Astor's Bar and Grill located at Don Mills just south of Lawrence.  CINEPLEX ODEON - Eglinton Town Centre.Their outside courtyard is situated in a nice sunny out of the way area, where you can sit and have a beer to relax with friends.  My favourite meal is their  Asian salad. The Staff is aleays helpful and is extremely courteous.  Jack Astors donates to many causes in the community and has been a consistent supporter of the TV Auction.  Our thanks to Phil Leach the manager at Jack Astor's.","Jack Astor's Bar and Grill "
W147,275,35,10:40:00,"Man's Watch & OGIO Golf Shirt",80.00,"National Silicates donates - a Man's Matsuda Wrist Watch with Black Leather Strap an Black Roman Numeral Dial face - in a Black Leather Presentation Box -and - an OGIO Golf Shirt - Bright Orange - Size Small - 100% Polyester for Style and Comfort","National Silicates"
W024,276,35,10:40:00,"Pharmacy Gift Card",100.00,"The Canadian Compounding Pharmacy ( formerly The Medicine Shoppe ) located at 2917 bloor St. West in the Kingsway donates - a $ 100 Gift Certificate for the purchase of any non-prescription items only - valid until Dec. 31, 2011 - Enhance your health with customized medication and medical fitting services fromthe Canadian Compounding Pharmacy.","Canadian Compounding Pharmacy"
T033,277,35,10:40:00,Birdhouse-Decorative,100.00,,"Lisa and David Compton"
T013,278,35,10:40:00,"Fashion Accessory Package",75.00,"West Park Healthcare Centre Foundation donates an upscale fashion accessory package which includes a beautiful black and silver Shawl, an elegant dressy bracelet, silver clutch and unique pink lipgloss with built in LED light and mirror to ensure precise application in dim lit environments.","West Park Healthcare Foundation"
S263,279,35,10:40:00,"Gift Certificate - Air Brush Tanning",100.00,"This gift certificate entitles the successful bidder to one (1) Full Body Air Brush Tan (100% UV free) from head to toe plus a double dip session in a turbo unit to set your colour.  This new custom air brushing is 100% UV free!! This unique process provides immediate flawless colour in minutes.  City Sun Tanning Studio is located in the heart of downtown Toronto, across the stree from the Eaton Centre.  In addition you will also receive a 15% discount off any Sunless Tan Extender or moistureizer to maintain your tan (applicable on 1st visit only).  This Salon consists of 3 levels with both lay down beds and stand up tanning.  A great value!","City Sun Tanning Studio"
Y038,281,36,10:50:00,"Kids Sewing Machine ",100.00,"The easy Stitcher is ideal for kids that want to learn how to sew. This machine sews from Silk to Denim with perfect stitch control. It comes with a horizontal drop-in bobbin, pre-threaded and ready to go. It comes with Step by Step instructions. Hey,.....you don't have to be a kid to enjoy this item. Ideal for any beginner. Tailoring and Dressmaker Scissors are also inlcuded.","Sewing Machine Services"
U043,282,36,10:50:00,"Waterford Honour 10"" Vase",100.00,"Marquis - Waterford Honour 10"" Vase.  Display your flowers in this beautiful piece.","Deborah   Cloakey"
W112,283,36,10:50:00,"Gents Dress Slacks",80.00,"Grand National Apparel located at 100 Marmore Street in Toronto donates - a Pair of Gents Savane Dress Slacks - 36"" Waist x 32"" Leg - Premium Charcoal GreyMachine Washable Wrinkle Resistant Wool Blend - Slacks Can be Exchanged for Another Size.","Grand National Apparel"
S091,284,36,10:50:00,"Woman's Golf Shirt, Golf Balls and Gadgets",85.00,"We have a group of golfing items, one is a woman's golf shirt which is madeby Nike in size medium (8-10), fifteen golf balls which are Top Flite with XL distance, and a golf bag utility belt which is an organizer for cell phone, balls, glove, tees etc., it includes six tees, divot repair tool and ball marker.  Great for the lady golfer.  ","Friends of Rotary"
S144,285,36,10:50:00,"GNC Gift Card",100.00,"A $100. gift card redeemable at one of the many GNC stores in Canada. GNC provides health and nutrition related products including vitamins, supplements, minerals, herbs and sports nutrition, diet and energy products","GNC Live Well"
U114,286,36,10:50:00,"Seasonal Tune Up",65.00,"Seasonal Tune Up for your car which will include an oil change, tire rotation and a complete inspection of the car.","CAA Car Care Services"
X101,287,36,10:50:00,"Gift Certificate for the Keg Steakhouse & Bar",50.00,"Enjoy a night out at the famous Keg Steakhouse & Bar. This certificate would be a great stocking stuffer.","The Keg Steakhouse and Bar"
S215,289,37,11:00:00,"Paint Package",100.00,"Certificate for one gallon of Benjamin Moore's Zero-Voc NATURA paint -paint and primer together, fast drying , in any colour -odourless . Roller Set-Paint brush- drop sheet- Masking tape- can opener -stir stick. From Peter's Paint and Paper on Coxwell  at O'Connor","Peter's Paint & Paper"
S090,290,37,11:00:00,"Gift Card from GNC",100.00,"This gift card entitles you to $100.00 so you can get your vitamins and minerals at any GNC store.  They are in the malls , with staff that is very helpful in guiding you to the proper vitamins or diet products, or anything else you might need in the nutrition area.  Be healthy.","Friends of Rotary"
S288,291,37,11:00:00,"A 1.5 hour Paradise F13 Experience!",105.00,"Harbourfront Centre Sailing and Powerboating Inc. has donated a 1.5 hour Paradise F13 experience.  Enjoy a powerboat experience in Toronto's beautiful harbour...take a look at this great city from the water! The views are breathtaking. This boat has a 25hp engine and will accommodate 2 adults and 1 child.   Harbourfront Centre Sailing and Powerboating offers Canadian Yachting Association courses, as well offers yearly memberships with access to assorted sail and powerboats...check out their website www.harbourfrontcentre.com...What a great way to enjoy summer in Toronto!","Harbourfront Centre Sailing and Powerboating Inc"
W080,292,37,11:00:00,"Asian Boat River Scene",125.00,"Universal Picture Framing & Sports donates - a Nicely Framed Limited Edition Numbered 230 of 245 Certified Investment Print "" The Far-Away People "" - depicting an Asian Boat River Scene by Artist W. D. Ward - Frame measures 24"" x 30"" - would add a Distinctive Touch to any Home Decor","Universal Picture Framing and Sports"
W030,293,37,11:00:00,"2 Autographed Gardening Books",90.00,"Mark Cullen - Canadian Author and Gardening Expert reaches over Two Million Canadians each week through his Radio and Television programs - Mark has donated Two Autographed Gardening Books - Titles are "" The Canadian Garden Primer "" and "" Sandbox of a Different Kind "" . These personally autographed Books are Collectable Publications and will Delight and be Treasured by anyserious Gardening Enthusiast. Here's a unique Xmas Gift for a Friend or Relative.","Mark's Choice"
X082,294,37,11:00:00,"IT USB TURNTABLE",120.00,"Record Albums to PC through USB Cable,331/3, 78, & 45 RPM, 3 Speed Turntale, RCA Line-out for audio and amplifier.  Record to PC, output to MP3 ORCD, Built-in RISS Equalizer","Sherwood TV Sales & Services "
X021,295,37,11:00:00,"FJord Smoked Salmon 1 kg pkg",40.00,"This Fjord Smoked Salmon is imported from Norway,and comes in a 1 KG package.  Delicious as an appetizer. ","Pauline Cheng"
X039,296,37,11:00:00,"Dopp Premium Leather Zipped Binder",100.00,"Dopp has been crafting products since 1919 and this leather zipped binder has all the features that the excutive in your life would need.  The binder has numerous pockets for business cards and is large enough to hold a small computer, it also comes complete with a writing pad.  The binder is beautifully finished in a high grade leather. ","Davis Group of Companies Corp"
X027,297,38,11:10:00,"Christmas Cottage - Royal Albert China",70.00,"This is a beautiful, hand decorated Royal Albert ""Snowy Cottage"" with an Old Country Roses pattern.  It is electrified so that it can be brightly displayed on a table or mantel.","Hardy Stevenson + Assoc.Ltd."
W144,298,38,11:10:00,"Rainbow Cinema 21 Movie Passes",126.00,"Skywords in Markham donates - 21 Movie Passes for Rainbow Cinema or Magic Lantern Theatres - Valid until April 30, 2012 - Enjoy a Winter's Worth of GreatFamily Movie Entertainment - Check for Closest Rainbow Cinema in your Area - ",Skywords
S145,299,38,11:10:00,"GNC Gift Card",100.00,"A $100. gift card redeemable at one of the many GNC stores in Canada. GNC provides health and nutrition related products including vitamins, supplements, minerals, herbs and sports nutrition, diet and energy products","GNC Live Well"
S266,300,38,11:10:00,"Ladies Outfit from Lindors",100.00,"Versatile knitwear, belts and jewellery","Lindor Inc."
W010,301,38,11:10:00,"Two Private Golf Lessons",120.00,"Mark Linton , R C G A Head Golf Teaching Pro at the Weston Golf & Country Club donates - Two 30 minute Private Golf Lessons - make your appointments after May 15, 2012 - Tune up your Golf Game and get ready for a better golf season in 2012","Weston Golf & Country Club"
U073,302,38,11:10:00,"Group of Seven Print",95.00,"Framed Group of Seven Print","Gibson & Associates"
W042,305,39,11:20:00,"Assorted Royale Paper Products",98.00,"Irving Tissue Toronto donates - an assortment of Royale Paper Products - The set consists of Two x 6 Roll Pack Paper Towels / Twelve x 4 Roll Pack Toilet Tissue / Six x 120 Pack Ultra Serviettes / Eightteen x 132 Sheet Boxes Facial Tissue - all these High Quality Royale Paper Products for your home are courtesy of Irving Tissue","Irving Consumer Products"
S269,306,39,11:20:00,"Scarf, gloves and jewellery",60.00,"Lindors Ladies Shop in Eglinton square has donated this beautiful set.We have a chenille scarf in a plaid light brown, black and beige with apair of black gloves in a dark brown and last but not least a long beaded necklace with different shades of brown and a touch of silver in it. Great set to compliment a suit, sweater or your coats","Lindor Inc."
U071,307,39,11:20:00,"Group of Seven Print",95.00,"Framed Group of Seven Print","Gibson & Associates"
S142,308,39,11:20:00,"GNC Gift Card ",100.00,"A $100. gift card redeemable at one of the many GNC stores in Canada. GNC provides health and nutrition related products including vitamins, supplements, minerals, herbs and sports nutrition, diet and energy products","GNC Live Well"
W075,309,39,11:20:00,"Hello Kitty Toy Sets",60.00,"Mega Brands have donated a group of Hello Kitty Sets for the age 4+. The selection includes Big House, Candy Shop, Playground, Picnic, Rainy Day and Sailor added to these sets are 2 packages of Hello Kitty collectibles. This would make a delightful gift for your favourite little girl.","Mega Brands"
V018,310,39,11:20:00,"Family pass to Royal Ontario Museum",112.00,"A one day Family Pass to the Royal Ontario Museum (ROM) includes:1. Free admission to the Museum for 2 adults and up to 4 children (aged 4-17)2. 10% discount towards any purchase in the ROM Store3. 10% discount in the Food Studio ROM Fresh Market EateryPass expires June 30, 2012.","Royal Ontario Museum"
S251,311,39,11:20:00,"Certificate for Beacher Cafe",75.00,"Down at Queen and Maclean there is a great restaurant, in a great areawith great food and drinks. Atmosphere is fantastic and later after a greatmeal you can wander around down the Beaches to the water, or to look in thestores.  This certificate is for $75.00","Beacher Cafe"
U106,313,40,11:30:00,"Seasonal Tune Up",65.00,"Seasonal Tune Up for your car which will include an oil change, tire rotation and a complete inspection of the car.","CAA Car Care Services"
X107,314,40,11:30:00,"Gift Certificate for the Keg Steakhouse & Bar",50.00,"Enjoy a night out at the famous Keg Steakhouse & Bar. This certificate would be a great stocking stuffer.","The Keg Steakhouse and Bar"
S195,315,40,11:30:00,"Yoga lesson",100.00,"This certificate provides the lucky soul with one private 90-minute Yoga session at the Yoga House. Please check out the website www.theyogahouse.ca","Celeste Shirley"
S112,316,40,11:30:00,"Collection of DVDs",100.00,"Four DVDs:""The Blind Side"": the highly rated true and inspiring story of a abandonned boy who became successful in the NFL""The Quiet Earth"" The story of a man who awakens to find himself alone in the world.""Dune"" - Extended Edition.  The David Lynch movie based on the award winning novel.Miyazaki's ""Spirited Away"" - Japanese anime film that was the highest grossing film in Japanese history.","James W. Leech"
S149,317,40,11:30:00,"Sirius Satellite Radio",104.00,"Sirius Satellite Radio with complete vehicle kit.Features:Pause live radio whenever you're interrupted.Rewind to listen to that favorite song again.Replay up to 44 minutes of programming30 presets - fast access to your favorite channels.100% comercial-free music! Over 150 channels to choose from.  Sports, news, 50's, 60's 70's, 80's music and much much moreIf it's worth hearing, you'll hear it on Sirius!","Friends of Rotary"
S222,318,40,11:30:00,"Four Cards for Golf Town",100.00,"These four cards for $25.00 each will give you great gifts for the golfers inyour family or friends. Golf Town is where you can get any type of equipment, clothes, balls, putters, irons and big berthas for your golfing needs. ","Golf Town"
U041,319,40,11:30:00,"9"" Petal Bowl",110.00,"Beautiful Shaftesbury 9"" Petal Bowl from Royal Doulton.","Deborah   Cloakey"
S150,321,41,11:40:00,"Digital Camera",110.00,"This is the Kodak Easy Share digital camera C180. It has 'face detection' and 'blur reduction' to help make taking great photos easy! 3X zoom and 10.2 megapixels. In a cool red colour.  ","Rooms Renewed"
W124,322,41,11:40:00,"Giant Cribbage Board",150.00,"R & R Woodwork located at 1210 Lorimar Road Mississauga donates - a Hand Crafted Giant Cribbage Board - Made from Selected Walnut - Complete with Brass Pegs and Deck of Cards Drawer - Board measuses 6"" x 20"" - Here's a Unique Xmas Gift for the Family Den or Games Room. Courtesy of R & R Woodwork.","R & R Woodwork"
U086,323,41,11:40:00,"Dog Lover's Package",100.00,"Dog Lovers Delight - Package includes a soft burgundy  water repellant dog bed for medium size dog, Zoomania dog blanket,and copy of the book ""Santa Paws Our Hero"".","Muddy Paws in the Guild"
S234,324,41,11:40:00,"Five Toys for Young Girls",80.00,"We have a Disney Princess magical tea cart and tray with wheels and utensils, a baby soft my first Cabbage Patch kids doll, a Surprise Newborn Cabbage Patch doll, a Pinkalicious activity easel, with pad,markers, glitter glue etc. as well as a Cookin for kids 73 piece play food bucket.  You have gifts for Christmas all for baby up to five year olds.","Friends of Rotary"
V021,325,41,11:40:00,"Day Passes to Wild Water Kingdom & Gift Certificate for Dancap Productions ",117.00,"This great package includes a fun day pass for two at Wild Water Kingdom - to be used during the 2012 season. (Season ends September 3, 2012).  This certificate has NO cash value.  Also included is a $50 gift certificate towards any Dancap Production Broadway Theatre.  This voucher has no expiration date.  Reedem this certificate by calling 416-644-3665.  Visit dancaptickets.com to view a listing of shows.","Wild Water Kingdom"
W130,326,41,11:40:00,"Eye Care & Floral Gift Cards",100.00,"Beaulieu Vision Care Eye Boutique located at 2938 Bloor Street West in The Kingsway - Combines with Carisma Florists located at 721 Burnhamthorpe Road West in Mississauga to donate - a $50 Gift Card for Eye Care Services - and - a $50 Gift Card for a Seasonal Floral Arrangement - Take Good Care of your Eye Sight and Enjoy the Floral Arrangement over the Holiday Season. ","Beaullieu Vision Care"
S050,327,41,11:40:00,"$100. Certificate Woodhill Garden Centre",100.00,"Once again Woodhill Garden Centre is providing a $100 Gift Certificate. Woodhill Garden Centre is a full service garden centre offering landscaping services as well as an extensive inventory for all your gardening needs; from annuals and perennials to indoor tropical plants! Or perhaps you want to get your home ready for the Holiday Season, Woodhill has a beautiful selection of Poinsettias and Christmas trees!  Perfect gift item for the gardener on your shopping list!","Woodhill Garden Centre"
