"Control Number","Item Number","Block Number","Block Time","Item Name",Value,Description,Donor
S217,11,2,19:10:00,"Gift Basket ",75.00,"Ourwellness at 2465 Yonge St. has donated a beautiful large wicker basket just filled with so many different packages. We have rice chips, Flax Plus Mulibran flakes, rice cakaes, Zico, hand and body lotion by Desert Essence , Glutenfree Mac and cheese,raisins etc.  So much more in this fantastic basket.Ourwellness is your health and nutrition centre.",Ourwellness
W014,12,2,19:10:00,"TWO SILK DESIGNER TIES",60.00,"MOORE'S CLOTHING FOR MEN LOCATED AT 129 CARLINGVIEW DRIVE DONATES - TWO PURE SILK DESIGNER MEN'S TIES - ONE IS PURPLE WITH LIGHT GREY AND PALE GREEN STRIPES - ONE IS NAVY BLUE WITH A GOLD STRIPE PATTERN - THESE CLASSIC TIES WILLENHANCE ANY GENTLEMAN'S WARDROBE - GREAT XMAS GIFT ITEMS - COURTESY OF MOORE'S CLOTHING FOR MEN","Moores Clothing for Men"
W089,13,2,19:10:00,"AUTO EMISSION TEST GIFT CERTIFICATE",40.00,"THE SAM INGRALDI SERVICE CENTRE LOCATED AT 2888 BLOOR STREET WEST IN THE KINGSWAY DONATES - A $40 GIFT CERTIFICATE FOR AN AUTO EMISSION TEST - KEEPYOUR CAR IN COMPLIANCE WITH ONTARIO'S MANDITORY DRIVE CLEAN PROGRAM - COURTESY OF SAM INGRALDI SERVICE CENTRE IN THE KINGSWAY.","Sam Ingraldi Service Centre"
S215,14,2,19:10:00,"Pair of Raptor Tickets",72.00,"Great news we have two Raptor tickets for Sunday, January 13th, 2014 at 1.00 p.mSection is 323, Row 1 Seats 7 & 8. Raptors vs Milwaukee Bucks. Join the fans to encourage our Raptors to win the game and wear your Jersey.  Have fun.","Bill Boyd"
U102,15,2,19:10:00,"$25 Gift Certificate from Private REserve",25.00,"Like Fine Wine? Like to save money? Come in to Private Reserve, just east of Cliffcrest Plaza. There you'll find genial host and guide Michael Forde. He'll expalin the various merits of the extensive range of wines from Australia, New Zealand, California, Europe, South Africa and of course, Canada. Within a few weeks you have a case of excellent wine for your table ready for bottling. Over 1200 Private Reserve customers keep coming back--there's a vote of good taste! The $25 voucher to be applied to your favourite wine batch.( good for one year )","Brian Philcox "
U121,16,2,19:10:00,"$29 Voucher for CAA Care Care Centre",29.00,"Next time you need an oil change you won't find a better place to have it done than the CAA Car Care Cntre at Kingston Road and Morningside in Scarborough. The Car Car Team under the able directon on Moenes Salib will treat you car with the fine service it deserves. The CAA Oil Change Plus package includes Tire Rotation, Oil Filter and change. Visual check of the brakes, tires, battery, fluids, air filter, lights, hoses, belts and more. You can depend on the Canadian Automobile Association to provide you with truly professional service for your vehicle. This offer good for one year and may be redeemed at any CAA Car Care Centre in Ontario","CAA Care Care Centre"
Y004,17,3,19:20:00,"Easy Stitcher and Scissors",40.00,"Sewing Machine Services is a distributor and does not sell to the public. Please check our website for the dealer closest to you. www.smscanada.com","Sewing Machine Services"
U081,18,3,19:20:00,"COUPON FOR 1 FREE OIL CHANGE",35.00,"OIL AND FILTER SERVICE.HAS SERVED SOUTH SCARBOROUGH SINCE THE LATE 60'S.REPAIRS MOST MAKES OF CARS, VANS, AND TRUCKS.SATISFACTION GUARANTEED!!!!COUPON # 0022.","Silver Mile Service Centre"
W113,19,3,19:20:00,"$50 LA ROSE BAKERY GIFT CERTIFICATE",50.00,"THE LA ROSE BAKERY AND DELICATESSEN LOCATED AT 140 LA ROSE AVE. DONATES - A $50GIFT CERTIFICATE FOR ANY BAKERY OR DELICATESSEN FOODS - ENJOY FINE BAKED GOODS OR DELI MEATS FROM LA ROSE BAKERY AND DELICATESSEN","LaRose Bakery & Delicatessan"
U051,20,3,19:20:00,"GIFT CERTIFICATE  - $25.00",25.00,"""EXPERIENCE THE VERY FIRST PIZZA NOVA. THE RESTAURANT THAT STARTED IT ALL WHEN WE OPENED OUR DOORS AND BEGAN SERVING TRADITIONAL ITALIAN PIZZAS BACK IN 1963. TASTE THE DIFFERENCE AND SEE OUR NEW LOOK AS WE CONTINUE OUR TRADITION OF SERVING SIMPLY THE FINEST QUALITY ITALIAN DISHES."" FOR RESERVATIONS CALL: 416-751-1200. CERT # 0093 Expires on Jan 31st., 2013","PIZZA NOVA RISTORANTE"
X103,21,3,19:20:00,"Cambridge Men's Shirt ",35.00,"""Cambridge Men's Shirt"", Size 16 1/2, White Pale Grey with staggered blue and black stripes full sleeved men's shirt","Diya Dhawan"
X136,22,3,19:20:00,"Cordless Screwdriver/Drill",50.00,"This mastercraft 3.6V compact cordless screwdriver kit, includes AC charging adapter, a nylon holster keeps screwdriver, and accessories within easy reach, 14 screwdriver bits and intruction book - an ideal tool for anyone to have.  ","Sherwood TV Sales & Services "
X105,23,3,19:20:00," EZ- Fly Game",25.00,"EZ-Fly is a challenging, skill-testing game requiring focus, energy, exitment and laughter.  Best played outdoors but can also be played indoorsIt's fun for all ages, exiting and enjoyable.","Rocco Colangelo"
U088,24,3,19:20:00,"Black and Decker Bread Maker",125.00,"This all in one Automatic Breadmaker let's you make 2 different loaf sizes. 1.5 and 2 lbs for just the right amount of bread for your family. There are 10 baking functions with rapid bake setting,crust shade control and 60 minute keep warm fuction. Easy to ready digital display. Recipies included","SCARBOROUGH TWILIGHT ROTARY CLUB "
X069,25,4,19:30:00,"Toy - Disney Telephone ",35.00,"Mickey Disney Telephone With Illuminated Ringer","Christina Mueller"
X139,26,4,19:30:00,"Printer Calculator by Texas Instruments",95.00,"This is an easy to use TI-5006 printer calculator with extra large 10 digit display.  It uses standard 2 1/4"" plain paper.  It is powered by 4 AA batteries.","CCS Educational Inc."
W148,27,4,19:30:00,"$75 AUTO SERVICE GIFT CERTIFICATE",75.00,"CRUIKSHANK FORD LOCATED AT 2062 WESTON ROAD DONATES - A $75 GIFT CERTIFICATE FOR AUTO SERVICE - INCLUDES LUBE, OIL & FILTER, MULTI POINT INSPECTION, TIRE ROTATION AND ALL FLUIDS TOP UP - ENSURE YOUR FORD OR LINCOLN IS READY FOR WINTER - COURTESY OF CRUICKSHANK FORD IN WESTON","Cruickshank Ford"
W061,28,4,19:30:00,"2 FRAMED ORCHID WATERCOLOR PRINTS",110.00,"MARY LOU ADDISON - A FRIEND OF ROTARY DONATES - A PAIR OF FRAMED "" ORCHIDS "" WATERCOLOR PRINTS BY MISSISSAUGA ARTIST ORYTHIA JOHNSTON - EACH FRAME MEASURES 9"" X 18"" - THIS ORIGINAL ARTWORK WOULD DELIGHT ANY ORCHID LOVER OR ANY FLOWER ENTHUSIAST - A VERY UNIQUE BIRTHDAY GIFT OR XMAS PRESENT","MARY LOU ADDISON"
S158,29,4,19:30:00,"Design Consultation - Gift Certificate",110.00,"Treat yourself to a one-hour design consultation with a Professional Interior Decorator to help you accessorize your home, select paint colours, improve your furniture layout or solve any other decorating challenges. Rooms Renewed specializes in making homes more beautiful and functional using what people already own. Rooms Renewed is located in the Upper Beach and serves the GTA.  Makes an excellent gift for the holidays!","Rooms Renewed"
X058,30,4,19:30:00,"EASTPOINT Tournament Bocce 9 Pieces",120.00,"There are 8 bocce balls of 103MM and 1 50MM Pallino, individually tested to ensure rolling accuracy, full set of game rules and instruction included. A storage caddy included with easy rolling base for maximum mobility, ergonomic and durable enough to take anywhere.","Rocco Colangelo"
X053,31,4,19:30:00,"DAGAZZI Stone Grill",100.00,"The original Hot Cooking Stone includes one stone grill, two burner covers, one wooden base, one rack set and one support & handling frame.  Enjoy this wonderful stone grill with your family and friends.","Rocco Colangelo"
U084,32,4,19:30:00,"Digital Frame",150.00,"Kodak Easy Share Digital Picture Frame. Enjoy your pictures in a whole new way. Just insert your memory card or USB flash drive and watch your photos come alive on the sleek vibrant display. Easy to copy with crisp details and vivid colours. Includes a power adapter, Kodak software CD and 2 decorative mattes","ANONYMOUS- SCARBOROUGH TWILIGHT ROTARY CLUB"
S208,33,5,19:40:00,"Swarovski Bracelet",125.00,"Providence Healthcare has donated this beautiful Swarovksi bracelet.It has a silver chain link looking round bracelet, with two large stones, and two small stones , each stone encircled with the same chain effect aroundthem. Lovely for the Lady in your life for Christmas. ","Providence Healthcare"
S023,34,5,19:40:00,"DeWalt  18VCompact Cordless Drill/driver Kit",190.00,"This 1/2 inch (13mm) 18V cordless compact drill/driver kit is made by DeWalt.It is compact size, lightweight 4.7 lbs. Dual speed range for optimal performance and has compact length 9 inches front to back which fits into tight space.  1/2 inch single sleeve ratcheting chuck for tighter bit grip and lightweight compact batteries. It includes 2 18v Batteries, fast charger and kit box for carrying. Excellent tool for many uses.","Fred Pierce"
U052,35,5,19:40:00,"GIFT VOUCHER - RUST PROOFING (NON DRIP)",120.00,"GIFT CERTIFICATE FOR RUST PROOFING. COMPLETE AUTOMOTIVE REPAIR SERVICES TO ALL MAKES AND MODELS. YOUR FAMILY'S SAFETY IS OUR PRIORITY.","AUTOMOTIVE EXPERTS"
S021,36,5,19:40:00,"Dewalt 7 1/4 inch Circular Saw",150.00,"Dickson Home Hsrdware has donated a DeWalt Circular Saw, which is lightweight at 9.5 lbs. 120V ac, powerful 15 amps, 50.60 hz, 2200 maximum watts out motor. 56 degree bevelling capacity with stops at 45 and 22.5.  Clear blade line of sight. Comes in a heavy duty carrying case,with blade wrench and a carbide tipped framing blade. Great for the handyman or worker. ","Dickson Home Hardware"
V013,37,5,19:40:00,Painting,100.00,"Spruce up any area of your home with this beautiful sailboat painting. Don't miss out on this one of a kind piece of art. ","Humber River Regional Hospital Foundation"
S187,38,5,19:40:00,"4- 11.4 Litre Tubs of Ice Cream or Yogourt",140.00,"St. Clair Ice Cream has once again donated their fabulous ice cream tothe Rotary Club for the auction. This is a company that has been in businessfor many, years,since 1932.  You will get four of the 11.4 litre tubs of 60 different flavor of ice cream or 11.4 litre tubs of any flavor yogourt.  Best ice cream in Toronto","St. Clair Ice Cream"
S170,39,5,19:40:00,"Leather Tote Bag  & phone holder",110.00,"Great recycled Leather products from Paperthinks. This is a beautiful shade of light purple Tote bag with a small pink phone holder.Has zippered pocket inside and lots room for your small purse or toting umbrella as well asother items.Has maintenance guide for storage, cleaning and care. Has a dome fastener at the top.",papere.clips
Y042,40,5,19:40:00,"Pub Style Dinner",50.00,"Enjoy a wonderful pub style lunch or dinner in the heart of Bloor West Village at The Dark Horse Pub","A Dark Horse Pub"
S131,41,6,19:50:00," Ring  ------  Beautiful  Ring",160.00,"BEAUTIFUL --- Simply Amazing Elegant Ring.......Bling.... Bling.....Bling.....From the collection Fifth Avenue Collection.....this jewellery is very unique in every way..... WOW!!!! GREAT GIFT FOR YOUR SPECIAL PERSON....","Jeweller --- Fifth Avenue Collection"
X092,42,6,19:50:00,"2 Bottles of Fine Liquour",100.00,"1. Finest Old Scotch Whiskey J& W Hardie, Edinburgh, since 1857.  This is a  blend of mature single malt Whiskeys. 1 litre 12 Years Old. It is an acknowledged masterpiece from the Antiquary. It is NOT available in the LCBO.2. Gusano Rojo Mezcal Taquila with ""The Worm"" in the 1 litre bottle. Product of Mexico.","Frank & Bette Allison"
U016,43,6,19:50:00,"Stormy Weather by F.H. Varley",299.00,"This unframed Group of Seven print by F.H. Varley is 15"" x 18"". Included is a certificate of authencity for print 335 of 777","Millie Tavener"
V011,44,6,19:50:00,"Women's Package ",150.00,"Treat that special lady in your life with this amazing package that includes: a Pamela Collection shall made in Italy, a copy of Natalie Coles' book ""Love Brought me Back"" and her ""Unforgettable"" CD. ","Humber River Regional Hospital Foundation"
S097,45,6,19:50:00,"Gift Certificate for Garden Centre",100.00,"Woodhill Garden Centre has donated this certificate to purchase Christmas Pointsetas,spring garden flowers, full grown trees etc.Unique selection of planters and garden acessories. Largest selection of evergreens and full grown trees. Do yourself a favour and visit Woodhill Garden Centre.","Woodhill Garden Centre"
X071,46,6,19:50:00,"Autographed Hockey Jersey",200.00,"This is an official CCM Hockey Jersey autographed by the New York Islanders players.  It is a replica Jersey, not an original.  The year is unknown at this time.","Eric  Clausner"
W108,47,6,19:50:00,"HOME HEALTH CARE $100 GIFT CERTIFICATE",100.00,"KINGSWAY MEDICAL FITTING SERVICES LOCATED AT 2917 BLOOR STREET WEST IN THE KINGSWAY DONATES - A $100 GIFT CERTIFICATE FOR CUSTOM FITTING OF MEDICAL AND SPORTS HOME HEALTH CARE PRODUCTS - BATH SAFETY - SPORTS SUPPORTS AND BRACES - BLOOD PRESSURE MONITORS - TENS UNITS AND SUPPLIES - AND A VARIETY OF OTHER HEALTH RELATED PRODUCTS - COURTESY OF KINGSWAY MEDICAL FITTING SERVICES","KINGSWAY MEDICAL FITTING SERVICES"
W083,48,6,19:50:00,"$100 PETROCAN GIFT CARD",100.00,"SUNCOR ENERGY LIMITED LOCATED AT 2489 NORTH SHERIDAN WAY DONATES - A $100 GIFT CARD VALID AT OVER 1600 RETAIL PETROCAN LOCATIONS - CAN BE USED FOR GASOLINE / CAR WASHES / SNACKS AND MUCH MORE - HAPPY MOTORING COURTESY OF SUNCOR ENERGY LIMITED","SUNCOR ENERGY"
S266,49,7,20:00:00,"Passes for Four 4 Seasons Golf Course",180.00,"Take your friends or family to this great golf called Four Seasons whoonce again have donated to our auction.  It is for four with cart and isBrock Rd. North in Pickering,north of Brougham.  Enjoy talking the gameover with food and drinks at the Club House.","4 Seasons Golf & country Club"
U071,50,7,20:00:00,"REGGIE BUNNYKINS #334/500",200.00,"ROYAL DOULTON FINE CHINA. REGGIE BUNNYKINS DB 474. THIS FIGURINE IS HAND MADE, HAND DECORATED AND MODELLED BY SHANE RIDGE. IT IS ISSUED IN A WORLDWIDE LIMITED EDITION OF 500.","Friends of Rotary"
V010,51,7,20:00:00,"Toy Package ",115.00,"This package includes a variety of toys for boys and girls (ranging from ages 3-5). There are 8 toys in all - including: 2 x Aquasand; 2 x Mighty Beanz; 2 x Bakugan Battle Packs, season two; 2 x flick trix hoffman bikes. ","Spin Master"
X030,52,7,20:00:00,"Pair of Red Toronto F.C. Soccer Tickets",154.00,"This is a pair of Red Toronto V.C. tickets for a game in the 2013 season.  Excitement is guaranteed!  Date to be arranged when the new schedule is published.  Excellent seats near centre field, in Section 107, Row 13, Seats 1 & 2.Call Basil Dias in May 2013 to arrange for the game and the tickets.","B.F.Dias Construction Inc."
X087,53,7,20:00:00,"""The Foxtrot Dance"" Royal Doulton figurine",350.00,"From its inception in New York city, early 20th Century Foxtrot danced in square step with a circular motion and with a slow-slow-quick tempo.  This treasure is hand painted and hand decorated in Royal Doulton bone china.","Hardy Stevenson + Assoc.Ltd."
S278,54,7,20:00:00,"Dozen Royal Copenhagen Porcelain Plates",420.00,"These beautiful blue with white Porcelain plates are antigue and from the years1968 to 1979. Each has a beautiful picture on them, each year is different.Some have scenery, other our Christmas Each one is done by a different artist.Beautiful on any wall. Collectors items","Donna Hubel"
X159,55,7,20:00:00,"Girl's Medium Winter Coat",90.00,"This is a quality winter coat made by Columbia.  It has omni-shield which gives advanced water repellancy.  It resists rain and stains.  Will keep you warm in the coldest conditions.  Colours are Dark Navy with Starburts in White, Red and Green.","National Sports"
U065,56,7,20:00:00,"FARMER BUNNYKINS  # 415/500",200.00,"ROYAL DOULTON FINE CHINA. THIS FIGURINE IS HANDMADE, HAND DECORATED AND MODELLED BY SHANE RIDGE. IT IS ISSUED IN A WORLD WIDE LIMITED EDITION OF 500.FARMER BUNNYKINS DB 471","Friends of Rotary"
X032,57,8,20:10:00,"Digital Multimeter",310.00,"This Multimeter is a best in its class heavy duty, with a high contrast display for easier reading.  It registers up to 600 Volts AC/DC and measures temperature from 40 to 752 degrees F.  Auto range to millivolts. Side mounted dial for one handed use with a rugged over moulding.  The kit comes complete with test lead jacks and AA batteries and a 5 year warranty.This device is used by the pros but would make a great gift for the home handyman for electrical trouble shooting. ","Wolseley Canada"
U033,58,8,20:10:00,"JOSEPH RIBKOFF-2 PIECE SUIT- SIZE 12",340.00,"SUIT SIZE 12- JACKET NAVY WITH WHITE TRIM.  SKIRT - NAVY. MADE IN CANADA BY JOSEPH RIBKOFF our famous designer.  Look good when going to work or outon the town",Felicia's
S243,59,8,20:10:00,"Signed Raptors Jersey DeRoza",350.00,"Certificate of Authenticity is enclosed with this great Red Raptors shirt which is trimmed in black and white and signed by De Roza. Has a Black bag for which you can carry it with the Red Raptors sign on the front. Wear this to thenext game and cheer on the team.","Dave Hopkinson"
S239,60,8,20:10:00,"Framed Picture by James Lumber",600.00,"This 25 inches by 29 inches framed in black with white matting and black pluswhite inset is called A boy and his Dream by James Lumber in 1991. It is WayneGretzky as a young boy then a man skating on the ice outside his home withhis Father coaching him. Great picture for any hockey enthusiast. ","Tom Hopkinson"
S167,61,8,20:10:00,"Two Tickets to Class Act Show & Dinner",130.00,"Class Act dinner show is just great.  Excellent comedy shows and acts.Take your pick of the one you want to see. Dinner is buffet and has excellent variety of food to serve you with just yummy desserts as well. Lots of funand laughter will make your evening a success."," "
W020,62,8,20:10:00,"KINGSWAY FOOT CLINIC GIFT CERTIFICATE",100.00,"THE KINGSWAY FOOT CLINIC LOCATED AT 2917 BLOOR STREET WEST DONATES - A $ 100GIFT CERTIFICATE FOR AN INITIAL CONSULTATION AND ONE FREE FOOT CREAM - ENJOY BETTER HEALTH AND FOOT COMFORT WITH PROFESSIONAL FOOT CARE - COURTESY OF THE KINGSWAY FOOT CLINIC.","Kingsway Foot Clinic"
S276,63,8,20:10:00,"Skateboard Gift Certificate",100.00,"C J Skateboard Park is the 4th largest ""not-for-profit"" indoor skateboard park in the world!  CJ's offers a variety of programs for all skill levels and all ages.  The park is also available for birthday parties and private events.This certificate is good for 1 hour lesson in a group class plus 1 hour of free skate and includes full board rental and also all safety equipment.  The CJ Skateboard park is located just to the south of the Gardiner between Islington and Kipling.  This certificate expires June 30th, 2013","C.J. Skateboard Park & School"
X142,64,8,20:10:00,"TV Stand",110.00,"This TV stand is good quality manufactured in Scarborough.  it is 41"" long, 20"" high and 15"" deep.","Scandia House Furniture"
W105,65,9,20:20:00,"16 PREMIUM SIRLOIN STEAKS",180.00,"MACGREGORS MEATS AND SEAFOOD LOCATED AT 265 GARYRAY DRIVE DONATES - A CARTON OF 16 CERTIFIED BLACK ANGUS STRIPLOIN SIRLOIN STEAKS - THESE PREMIUM CENTRE CUT SIRLOINS WILL MAKE ANY BARBEQUE A VERY SPECIAL EVENT - COURTESY OF MACGREGORS MEATS AND SEAFOOD LTD.","MacGregor Meats & Seafood"
W011,66,9,20:20:00,"LADIES ACCUTRON WRIST WATCH",295.00,"BULOVA WATCH COMPANY - MANUFACTURER OF QUALITY TIMEPIECES - DONATES A LADIES ACCUTRON QUARTZ WRIST WATCH - WITH MOTHER OF PEARL WHITE DIAL FACE WITH BLACK TRIM - WITH DATE SETTING INDICATOR IN DIAL FACE - POLISHED STAINLESS STEEL CASE AND MATCHING LINK BRACELET - A GREAT XMAS GIFT FOR A SPECIAL LADY - COURTESY OF BULOVA WATCH COMPANY.","Bulova Watch Company"
X157,67,9,20:20:00,"Men's Extra Large Winter Coat",220.00,"This is a quality coat made by Columbia.  It features omni-heat which is thermal reflective and omni-tech which makes the coat water proof and breathable.  Colours are black and Grey.  Also it has a wind skirt which prevents wind from going up your back.","National Sports"
W031,68,9,20:20:00,"LADIES HOSIERY GIFT BASKET",200.00,"THE PHANTOM OUTLEY STORE LOCATED AT 514 LAWRENCE AVE. WEST DONATES - A LADIES HOSIERY GIFT BASKET FILLED WITH ASSORTED SIZES OF HOSIERY - SOCKS - TIGHTS - LEGGINGS - PANTY HOSE - SHAPERS - KNEE HI'S - AND FOOTLETS - ALL COURTESY OF THE PHANTOM OUTLET STORE AT 514 LAWRENCE AVE. WEST.","Phantom Outlet Store"
W053,69,9,20:20:00,"TWO TORONTO RAPTORS TICKETS",246.00,"MAPLE LEAF FOODS INC. DONATES - TWO TORONTO RAPTORS TICKETS - FOR WEDNESDAY, JANUARY 02 / 2013 AT 7:00 P M - GREAT SEATS IN SEC. 117 / ROW 16 - ENJOY THE RAPTORS VERSUS PORTLAND TRAIL BLAZERS AT THE AIR CANADA CENTRE - COURTESY OF MAPLE LEAF DOODS WHO ARE - "" PASSIONATE PEOPLE / PASSIONATE ABOUT FOOD "".","Maple Leaf Foods Inc."
W019,70,9,20:20:00,"$ 250 HAKIM OPTICAL GIFT CARD",250.00,"HAKIM OPTICAL DONATES - A $ 250 GIFT CARD FOR VISION CARE PRODUCTS AND SERVICES - REDEEMABLE AT 160 HAKIM LOCATIONS - FOR YOUR CONVENIENCE HAKIM OPTICAL OFFERS ONE HOUR IN STORE LAB SERVICES - ENJOY BETTER HEALTH AND BETTER VISION - COURTESY OF HAKIM OPTICAL.","Hakim Optical"
U002,71,9,20:20:00,"The School, Fine Dining",150.00,"Enter a world of quiet elegance, a world the reflects the refinement and grace of the Victorian era at it's finest. The is The School, an unrivaled experience in fine dining, an occasion of unparalled distinction, 4121-14th Avenue between Birchmount and Kennedy in Unionville. 905 477 1161","Millie Tavener"
X091,72,9,20:20:00,"Set of 3 Unity Silver Plated Candle holders ",125.00,"This is a 3 piece silver plated set of candle holders.  They are tarnish-free so no need to polish.  They would grace any table setting.","Hardy Stevenson + Assoc.Ltd."
S064,73,10,20:30:00,"Golf Sand Wedge,Men'sGolf Shirt & Towel",90.00,"Great package for the man golfer. We have a right handed sand wedge for the man golfer,made by World Tour called Fat Cat and is oversized.Dark blue towel to attach to your bag and men's golf shirt by Nikegolf in medium in a black and is a dryfit.  Three items for a great golfer.","Patrick Grist"
X038,74,10,20:30:00,"Framed William Biddle Watercolour Print",200.00,"This Canadian watercolour artist's work is reflective of memories of the past, and related to specific occupations of the present.  Biddle teaches classes in both drawing and watercolour at the Ontario College of Art & Design in Toronto. This print is entitled ""Goalie Save"" and is #10/900.  Frame is 24"" by 21 1/2""","Nancy Forfar"
S204,75,10,20:30:00,"Sony Cyber-shot Camera & Memory Card",150.00,"Providence Healthcare has donated this great black Sony Cyber-shot camera. The memory card is 8 gb has 35 minute full HD Video and 1000 Photos. The Camer has wide angle lens, 10x Optical Zoom and has charger included as well.Easy to use, small to put in your pocket or purse and takes great pictures.Everyone needs a camera and it would make an excellent Christmas present","Providence Healthcare"
W059,76,10,20:30:00,"TWO TORONTO RAPTORS TICKETS",226.00,"COURTESY CHEVROLET LOCATED AT 1635 THE QUEENSWAY DONATES - TWO TORONTO RAPTORS TICKETS FOR SUNDAY, DECEMBER 16, 2012 AT 1:00 P M AT THE AIR CANADA CENTRE - SEE THE RAPTORS VERSUS THE HOUSTON ROCKETS FROM SECTION 102, ROW 12 - COURTESY OF COURTESY CHEVROLET ON THE QUEENSWAY.","COURTESY CHEVROLET"
S258,77,10,20:30:00,"Photo --- Gordie Howe & Wayne Gretzky ",500.00,"This is an Autographed Commemorative Photo of  Gordie Howe & Wayne Gretzky Donated by The  Toronto East General Hospital Foundation From:::: Teresa & Justin & all the staff of Toronto East General Hospital....","Toronto East General Hospital"
S041,81,11,20:40:00,"Sericel Framed picture Pink Panther",195.00,"Limited Edition sericel picture is 13.5 x 16.5 of the Pink Panther Golfing. Ist is multiple part of a limited edition with total number of pieces for this edition is 2500. Year of production was 2000. Certificate of Authenticity is on the back. PInk Panther is golfing swinging his club over his shoulder while dressed in checkered pants  and white shirt. Collector's item.","Eddie Macleod"
S033,82,11,20:40:00,"Framed Picture of the Simpsons",575.00,"This framed picture of the Breakfast with the Simpsons is 18 x 20 , edition size is 1000, Limited edition serigraph cel featuring them having breakfast.. Even the dog and cats are eating. Great picture for the collector. This is a sold out edition.","Eddie Macleod"
